date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:20	48035/48035	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20May%202021%2020:03:23%20GMT	https://delux-conference.webflow.io/	C:/My%20Web%20Sites/English%20Project/delux-conference.webflow.io/index.html	(from )
16:03:21	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2007%20May%202021%2020:03:23%20GMT	https://delux-conference.webflow.io/robots.txt		(from )
16:03:21	78788/78788	---M-Z	200	added ('OK')	text/css	etag:%22b687cadd135e967c4bafc0a9fe8bc692%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/css/delux-conference.webflow.6e22ba3a6.css	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/css/delux-conference.webflow.6e22ba3a6.css	(from https://delux-conference.webflow.io/)
16:03:21	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/English%20Project/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://delux-conference.webflow.io/)
16:03:21	861/861	---M--	200	added ('OK')	image/png	etag:%227cc1730db8662aadb1a1e3ef14214a33%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca5de9d358daf945098ca7_delux%20favicon.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca5de9d358daf945098ca7_delux%20favicon.png	(from https://delux-conference.webflow.io/)
16:03:22	9894/9894	---M--	200	added ('OK')	image/png	etag:%225f05e116daeaa07eac8173a89b27b2e5%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca5deb475410a6998dfa72_Delux%20Webclip.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca5deb475410a6998dfa72_Delux%20Webclip.png	(from https://delux-conference.webflow.io/)
16:03:22	11703/11703	---M--	200	added ('OK')	image/png	etag:%22c36c0290423160eccdbc01e3de3e0a51%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dc9df13ff27a5809be3f6cc_Delux%20red.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dc9df13ff27a5809be3f6cc_Delux%20red.png	(from https://delux-conference.webflow.io/)
16:03:22	11867/11867	---M--	200	added ('OK')	image/png	etag:%220bb94a7273a5d14151d321c37b1d7955%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dc9df13ff27a579bbe3f6c9_Delux%20white.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dc9df13ff27a579bbe3f6c9_Delux%20white.png	(from https://delux-conference.webflow.io/)
16:03:22	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2007%20May%202021%2020:03:25%20GMT	https://delux-conference.webflow.io/%22https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dd0d0bec5a7ed1e0558b5cf_video%20(1	C:/My%20Web%20Sites/English%20Project/delux-conference.webflow.io/_https_/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dd0d0bec5a7ed1e0558b5cf_video%20(1	(from https://delux-conference.webflow.io/)
16:03:23	65658/65658	---M--	200	added ('OK')	image/png	etag:%22c6347a56c0c7a9ab3b95e152cc2c4378%22	https://assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca1d500b137ab0ee7c6538_webflow_dark.png	C:/My%20Web%20Sites/English%20Project/assets.website-files.com/5dc9df0bcd9d01fc66ba72a6/5dca1d500b137ab0ee7c6538_webflow_dark.png	(from https://delux-conference.webflow.io/)
